t              u1             u2             u3
0.222851       1.000000       2.668554       3.000000
0.223185       1.000000       2.669554       3.000000
0.223518       1.000000       2.670553       3.000000
0.223851       1.000000       2.671552       3.000000
0.224184       1.000000       2.672552       3.000000
0.224517       1.000000       2.673551       3.000000
0.224850       1.000000       2.674550       3.000000
0.225183       1.000000       2.675550       3.000000
0.225516       1.000000       2.676549       3.000000
0.225849       1.000000       2.677548       3.000000
0.226183       1.000000       2.678548       3.000000
0.226516       1.000000       2.679547       3.000000
0.226849       1.000000       2.680546       3.000000
0.227182       1.000000       2.681546       3.000000
0.227515       1.000000       2.682545       3.000000
0.227848       1.000000       2.683544       3.000000
0.228181       1.000000       2.684544       3.000000
0.228514       1.000000       2.685543       3.000000
0.228847       1.000000       2.686542       3.000000
0.229181       1.000000       2.687542       3.000000
0.229514       1.000000       2.688541       3.000000
0.229847       1.000000       2.689540       3.000000
0.230180       1.000000       2.690540       3.000000
0.230513       1.000000       2.691539       3.000000
0.230846       1.000000       2.692538       3.000000
0.231179       1.000000       2.693538       3.000000
